batch_size,checkpoint_path,complexity_status,complexity_tool,configuration,device,device_name,epochs,estimated_flops_if_2x_macs,flops_convention,frozen_backbone,history_path,input_resolution,learning_rate,macs_per_forward,mean_epoch_time_seconds,model_name,model_size_mb,optimizer,peak_gpu_memory_mb,plot_path,preprocessing,pretrained_weights_used,random_seed,test_accuracy,total_parameters,total_training_time_seconds,trainable_parameter_groups,trainable_parameters
32,/content/drive/MyDrive/homework_5/results/problem2/checkpoints/swin_tiny_pretrained_frozen.pt,ok,thop,"{""checkpoint"": ""microsoft/swin-tiny-patch4-window7-224"", ""num_labels"": 100, ""ignore_mismatched_sizes"": true, ""only_classifier_trainable"": true}",cuda,Tesla T4,5,8729349120,thop returns MACs; FLOPs are often approximated as 2x MACs,True,/content/drive/MyDrive/homework_5/results/problem2/training_history_swin_tiny_pretrained_frozen.csv,224,2e-05,4364674560,230.08543603439995,swin_tiny_pretrained_frozen,105.27135467529297,Adam,698.3095703125,/content/drive/MyDrive/homework_5/results/problem2/plots/swin_tiny_pretrained_frozen_training_curves.png,Hugging Face Swin image processor mean/std with Resize(224),True,42,0.6642,27596254,1386.0040750649996,"[""classifier.weight"", ""classifier.bias""]",76900
32,/content/drive/MyDrive/homework_5/results/problem2/checkpoints/swin_small_pretrained_frozen.pt,ok,thop,"{""checkpoint"": ""microsoft/swin-small-patch4-window7-224"", ""num_labels"": 100, ""ignore_mismatched_sizes"": true, ""only_classifier_trainable"": true}",cuda,Tesla T4,5,17067396096,thop returns MACs; FLOPs are often approximated as 2x MACs,True,/content/drive/MyDrive/homework_5/results/problem2/training_history_swin_small_pretrained_frozen.csv,224,2e-05,8533698048,413.22652670080004,swin_small_pretrained_frozen,186.59270477294922,Adam,779.3544921875,/content/drive/MyDrive/homework_5/results/problem2/plots/swin_small_pretrained_frozen_training_curves.png,Hugging Face Swin image processor mean/std with Resize(224),True,42,0.7028,48914158,2484.2128403849993,"[""classifier.weight"", ""classifier.bias""]",76900
32,/content/drive/MyDrive/homework_5/results/problem2/checkpoints/swin_scratch_compact.pt,ok,thop,"{""image_size"": 224, ""patch_size"": 4, ""in_channels"": 3, ""num_classes"": 100, ""embed_dim"": 48, ""depths"": [2, 2, 2, 2], ""num_heads"": [3, 6, 12, 24], ""window_size"": 7, ""dropout"": 0.0}",cuda,Tesla T4,5,1500991488,thop returns MACs; FLOPs are often approximated as 2x MACs,False,/content/drive/MyDrive/homework_5/results/problem2/training_history_swin_scratch_compact.csv,224,0.001,750495744,228.84733739679996,swin_scratch_compact,19.70507049560547,Adam,1762.26318359375,/content/drive/MyDrive/homework_5/results/problem2/plots/swin_scratch_compact_training_curves.png,Hugging Face Swin image processor mean/std with Resize(224),False,42,0.032,5165566,1258.99125655,"[""all""]",5165566
