batch_size,checkpoint_path,complexity_status,complexity_tool,configuration,device,device_name,epochs,estimated_flops_if_2x_macs,flops_convention,frozen_backbone,history_path,learning_rate,macs_per_forward,mean_epoch_time_seconds,model_name,model_size_mb,optimizer,plot_path,pretrained_weights_used,random_seed,test_accuracy,total_parameters,total_training_time_seconds,trainable_parameters
64,/content/drive/MyDrive/homework_5/results/problem1/checkpoints/vit_p4_d256_l4_h4.pt,ok,thop,"{""name"": ""vit_p4_d256_l4_h4"", ""image_size"": 32, ""patch_size"": 4, ""in_channels"": 3, ""num_classes"": 100, ""embed_dim"": 256, ""depth"": 4, ""num_heads"": 4, ""dropout"": 0.1, ""mlp_hidden_dim"": 1024, ""manual_parameter_breakdown"": {""patch_embedding"": 12544, ""class_token"": 256, ""positional_embedding"": 16640, ""attention_projections_all_blocks"": 1052672, ""mlp_layers_all_blocks"": 2102272, ""layer_norms_all_blocks"": 4096, ""final_layer_norm"": 512, ""classification_head"": 25700, ""manual_total"": 3214692, ""programmatic_total"": 3214692, ""matches_programmatic_total"": true}}",cuda,Tesla T4,10,411766784,thop returns MACs; FLOPs are often approximated as 2x MACs,False,/content/drive/MyDrive/homework_5/results/problem1/training_history_vit_p4_d256_l4_h4.csv,0.001,205883392,33.21580834480001,vit_p4_d256_l4_h4,12.263076782226562,Adam,/content/drive/MyDrive/homework_5/results/problem1/plots/vit_p4_d256_l4_h4_training_curves.png,False,42,0.3074,3214692,365.1804628680002,3214692
64,/content/drive/MyDrive/homework_5/results/problem1/checkpoints/vit_p4_d512_l8_h8.pt,ok,thop,"{""name"": ""vit_p4_d512_l8_h8"", ""image_size"": 32, ""patch_size"": 4, ""in_channels"": 3, ""num_classes"": 100, ""embed_dim"": 512, ""depth"": 8, ""num_heads"": 8, ""dropout"": 0.1, ""mlp_hidden_dim"": 2048, ""manual_parameter_breakdown"": {""patch_embedding"": 25088, ""class_token"": 512, ""positional_embedding"": 33280, ""attention_projections_all_blocks"": 8404992, ""mlp_layers_all_blocks"": 16797696, ""layer_norms_all_blocks"": 16384, ""final_layer_norm"": 1024, ""classification_head"": 51300, ""manual_total"": 25330276, ""programmatic_total"": 25330276, ""matches_programmatic_total"": true}}",cuda,Tesla T4,10,3279331328,thop returns MACs; FLOPs are often approximated as 2x MACs,False,/content/drive/MyDrive/homework_5/results/problem1/training_history_vit_p4_d512_l8_h8.csv,0.001,1639665664,184.94646722080006,vit_p4_d512_l8_h8,96.62733459472656,Adam,/content/drive/MyDrive/homework_5/results/problem1/plots/vit_p4_d512_l8_h8_training_curves.png,False,42,0.0553,25330276,1977.6259558720003,25330276
64,/content/drive/MyDrive/homework_5/results/problem1/checkpoints/vit_p8_d256_l4_h4.pt,ok,thop,"{""name"": ""vit_p8_d256_l4_h4"", ""image_size"": 32, ""patch_size"": 8, ""in_channels"": 3, ""num_classes"": 100, ""embed_dim"": 256, ""depth"": 4, ""num_heads"": 4, ""dropout"": 0.1, ""mlp_hidden_dim"": 1024, ""manual_parameter_breakdown"": {""patch_embedding"": 49408, ""class_token"": 256, ""positional_embedding"": 4352, ""attention_projections_all_blocks"": 1052672, ""mlp_layers_all_blocks"": 2102272, ""layer_norms_all_blocks"": 4096, ""final_layer_norm"": 512, ""classification_head"": 25700, ""manual_total"": 3239268, ""programmatic_total"": 3239268, ""matches_programmatic_total"": true}}",cuda,Tesla T4,10,108892160,thop returns MACs; FLOPs are often approximated as 2x MACs,False,/content/drive/MyDrive/homework_5/results/problem1/training_history_vit_p8_d256_l4_h4.csv,0.001,54446080,27.47121248129988,vit_p8_d256_l4_h4,12.356826782226562,Adam,/content/drive/MyDrive/homework_5/results/problem1/plots/vit_p8_d256_l4_h4_training_curves.png,False,42,0.1005,3239268,307.1147712330003,3239268
64,/content/drive/MyDrive/homework_5/results/problem1/checkpoints/vit_p8_d512_l8_h8.pt,ok,thop,"{""name"": ""vit_p8_d512_l8_h8"", ""image_size"": 32, ""patch_size"": 8, ""in_channels"": 3, ""num_classes"": 100, ""embed_dim"": 512, ""depth"": 8, ""num_heads"": 8, ""dropout"": 0.1, ""mlp_hidden_dim"": 2048, ""manual_parameter_breakdown"": {""patch_embedding"": 98816, ""class_token"": 512, ""positional_embedding"": 8704, ""attention_projections_all_blocks"": 8404992, ""mlp_layers_all_blocks"": 16797696, ""layer_norms_all_blocks"": 16384, ""final_layer_norm"": 1024, ""classification_head"": 51300, ""manual_total"": 25379428, ""programmatic_total"": 25379428, ""matches_programmatic_total"": true}}",cuda,Tesla T4,10,860069888,thop returns MACs; FLOPs are often approximated as 2x MACs,False,/content/drive/MyDrive/homework_5/results/problem1/training_history_vit_p8_d512_l8_h8.csv,0.001,430034944,55.33453473029995,vit_p8_d512_l8_h8,96.81483459472656,Adam,/content/drive/MyDrive/homework_5/results/problem1/plots/vit_p8_d512_l8_h8_training_curves.png,False,42,0.0603,25379428,593.916345052,25379428
64,/content/drive/MyDrive/homework_5/results/problem1/checkpoints/resnet18_pretrained_imagenet.pt,ok,thop,"{""architecture"": ""torchvision.models.resnet18"", ""weights"": ""ResNet18_Weights.IMAGENET1K_V1"", ""input_size"": 224, ""normalization"": ""ImageNet"", ""classifier_outputs"": 100}",cuda,Tesla T4,10,3647145984,thop returns MACs; FLOPs are often approximated as 2x MACs,False,/content/drive/MyDrive/homework_5/results/problem1/training_history_resnet18_pretrained_imagenet.csv,0.001,1823572992,151.68862567920004,resnet18_pretrained_imagenet,42.83070373535156,Adam,/content/drive/MyDrive/homework_5/results/problem1/plots/resnet18_pretrained_imagenet_training_curves.png,True,42,0.7048,11227812,1706.7313242929995,11227812
